ph,lat_centroide,lon_centroide,direccion_nueva,direccion_anterior,distancia_m,sec,mza,graf
2413,-32.94586555272434,-60.65322628457747,Bulevar Nicasio Oroño 949,Bulevar Nicasio Oroño 965,34.8,1.0,136.0,25.0
14799,-32.94570021155069,-60.64966405004766,Rioja,Rioja,37.3,1.0,138.0,8.0
10278,-32.9465105,-60.64856600000001,Manuel Dorrego,Manuel Dorrego,62.6,1.0,139.0,7.0
10323,-32.94617998016713,-60.64848200334263,Italia 924,Manuel Dorrego,35.6,1.0,139.0,7.0
11057,-32.94600178544024,-60.64839293628702,Rioja 1811,Manuel Dorrego,36.9,1.0,139.0,7.0
7838,-32.94640029755305,-60.648537774716765,Italia 942,Manuel Dorrego,52.1,1.0,139.0,7.0
4685,-32.94755525024222,-60.64607106219584,San Luis,Presidente Roca 972,34.7,1.0,141.0,16.0
6041,-32.94688798963448,-60.64569462247682,Presidente Roca 940,Rioja,35.0,1.0,141.0,12.0
6343,-32.94762521647496,-60.645897088913976,San Luis,Presidente Roca 972,38.9,1.0,141.0,16.0
12761,-32.94681840327891,-60.64533340018813,Presidente Roca,Rioja 1541,39.4,1.0,142.0,3.0
15556,-32.94673050000001,-60.644567,Rioja 1541,Rioja 1541,51.4,1.0,142.0,3.0
21282,-32.947118174756504,-60.64514400627868,Presidente Roca,Presidente Roca,30.9,1.0,142.0,26.0
5112,-32.947614738122404,-60.64011526708686,Bartolomé Mitre 916,Rioja 1231,32.7,1.0,145.0,7.0
6127,-32.94759214874561,-60.64122528738148,Ricardone,Rioja 1231,96.1,1.0,145.0,7.0
8557,-32.947554222249536,-60.65197315131257,Balcarce,Mariano Moreno 1068,31.0,1.0,156.0,13.0
1596,-32.94730583240486,-60.650796693648346,Manuel Dorrego,Mariano Moreno 1039,49.4,1.0,157.0,22.0
17702,-32.9472747438774,-60.650932771227446,Manuel Dorrego,Mariano Moreno 1039,35.2,1.0,157.0,22.0
7028,-32.94755431306343,-60.65071085336094,Manuel Dorrego,Manuel Dorrego,45.1,1.0,157.0,10.0
9481,-32.94769235823547,-60.65034034246146,Manuel Dorrego 1082,Manuel Dorrego,32.9,1.0,157.0,10.0
15659,-32.94778562946559,-60.64980106092387,Manuel Dorrego 1057,San Juan,45.2,1.0,158.0,21.0
16742,-32.94819338475034,-60.64919794763833,San Juan 1830,San Juan 1802,32.9,1.0,158.0,19.0
20739,-32.94754057962077,-60.64931998996988,San Luis 1844,Manuel Dorrego 1029,59.3,1.0,158.0,25.0
6764,-32.94786059766896,-60.64664128239711,San Luis,España 1007,52.9,1.0,160.0,1.0
1739,-32.94825565753114,-60.64460329910435,Paraguay 1018,Paraguay,37.4,1.0,161.0,8.0
7735,-32.94990364032524,-60.637047466279554,Peatonal San Martín,Peatonal San Martín 1073,40.6,1.0,167.0,23.0
245,-32.94989335685393,-60.63478490382023,Francisco Narciso Laprida 1050,San Luis 841,43.5,1.0,168.0,7.0
6118,-32.95088342227314,-60.63477616038325,Francisco Narciso Laprida,San Juan 768,35.9,1.0,169.0,23.0
1696,-32.950450333394,-60.63141443298552,San Luis 569,San Luis 589,30.2,1.0,171.0,1.0
1720,-32.95088743983739,-60.63071578699187,Primero de Mayo 1028,San Luis 537,40.2,1.0,171.0,11.0
20937,-32.94893961615913,-60.65269359317876,Mendoza,Balcarce 1155,40.7,1.0,175.0,26.0
10947,-32.94888401561971,-60.648705016250815,Italia 1127,Italia 1153,35.7,1.0,178.0,1.0
12088,-32.94855321496305,-60.64871011353885,Italia,Italia 1153,70.2,1.0,178.0,1.0
17649,-32.94864488394812,-60.64867946563078,Italia,Italia 1153,61.3,1.0,178.0,1.0
20239,-32.948802479402055,-60.64871920195185,Italia 1123,Italia 1153,43.3,1.0,178.0,1.0
3203,-32.94872650000001,-60.64869999999999,Italia 1117,Italia 1153,52.0,1.0,178.0,1.0
3672,-32.948711331263496,-60.64852656654966,Italia 1109,Italia 1153,62.6,1.0,178.0,1.0
4224,-32.94936437175102,-60.64878575438671,Italia 1165,Mendoza 1756,40.3,1.0,178.0,20.0
1353,-32.94992071201822,-60.64606514475249,Presidente Roca 1173,Mendoza,35.2,1.0,180.0,25.0
15566,-32.95004189757856,-60.64432197150433,Paraguay,Paraguay 1157,40.6,1.0,181.0,34.0
17392,-32.95103233374351,-60.63805725472079,Peatonal San Martín 1130,Sarmiento,49.6,1.0,185.0,37.0
2459,-32.95111834886071,-60.637002540368215,Peatonal San Martín,Maipú 1142,54.1,1.0,186.0,7.0
6175,-32.95231541868272,-60.63269035813314,Juan Manuel de Rosas,Buenos Aires,47.3,1.0,189.0,17.0
1072,-32.95271405541327,-60.6282937832256,Santa Cruz,San Juan 323,36.0,1.0,192.0,3.0
20485,-32.952647619167216,-60.62822403559057,Santa Cruz,San Juan 323,34.3,1.0,192.0,3.0
7678,-32.95273178233368,-60.62819039540749,Santa Cruz,San Juan 323,43.8,1.0,192.0,3.0
10282,-32.94982007563262,-60.65283276235126,Balcarce,Balcarce 1251,44.2,1.0,196.0,26.0
10613,-32.94980391327809,-60.65295272843842,Balcarce 1249,Balcarce 1251,30.7,1.0,196.0,26.0
14094,-32.949569638669864,-60.65283238898412,Balcarce,Balcarce,34.7,1.0,196.0,28.0
3094,-32.94955300000001,-60.65207600000001,Mariano Moreno 1220,Mendoza 2049,57.2,1.0,196.0,4.0
