ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
21658,2021.0,1.0,8.0,20.0,,-32.934422,-60.64643328571428,Manuel Dorrego 76 bis
22931,2025.0,1.0,8.0,1.0,,-32.93423733333333,-60.64648983333334,Manuel Dorrego 99 bis
2633,1967.0,1.0,8.0,14.0,,-32.935058777777776,-60.64670155555556,Almirante Brown 1899
3245,1969.0,1.0,8.0,11.0,,-32.93502385714286,-60.64639742857143,Almirante Brown 1876
9185,1981.0,1.0,8.0,2.0,,-32.93435885714286,-60.64621185714286,Güemes 1859
10234,1984.0,1.0,9.0,18.0,,-32.935257285714286,-60.645147,Almirante Brown 1786
10261,1984.0,1.0,9.0,14.0,,-32.935309714285715,-60.644754,Almirante Brown 1748
13907,1996.0,1.0,9.0,15.0,,-32.935277000000006,-60.644847,Almirante Brown 1758
14180,1997.0,1.0,9.0,10.0,,-32.93545342857143,-60.64433342857143,Almirante Brown 1704
15068,2001.0,1.0,9.0,7.0,,-32.93530633333334,-60.64445425,Almirante Brown 1718
15193,2001.0,1.0,9.0,9.0,,-32.93517920000001,-60.644294,Avenida Guillermo Wheelwright
16441,2007.0,1.0,9.0,5.0,,-32.93505871428572,-60.644702714285714,Avenida Guillermo Wheelwright
16445,2007.0,1.0,9.0,6.0,,-32.93509542857142,-60.64459585714286,Avenida Guillermo Wheelwright
1707,1963.0,1.0,9.0,1.0,,-32.9348256,-60.6451858,Italia 99 bis
17877,2010.0,1.0,9.0,2.0,,-32.93495242857143,-60.64493728571428,Avenida Guillermo Wheelwright
18920,2013.0,1.0,9.0,19.0,,-32.93505371428571,-60.64519071428571,Italia 1 bis
376,1955.0,1.0,9.0,16.0,,-32.93524466666667,-60.644934,Almirante Brown 1766
606,1956.0,1.0,9.0,18.0,,-32.935257285714286,-60.645147,Almirante Brown 1786
6427,1976.0,1.0,9.0,9.0,,-32.93517920000001,-60.644294,Avenida Guillermo Wheelwright
10072,1984.0,1.0,10.0,5.0,,-32.93478733333333,-60.65015066666666,Almirante Brown 2145
14186,1997.0,1.0,10.0,1.0,,-32.9345804,-60.6507408,Bulevar Nicasio Oroño 3
14960,2000.0,1.0,10.0,4.0,,-32.9348895,-60.6502963,Almirante Brown 2159
1500,1962.0,1.0,10.0,1.0,,-32.9345804,-60.6507408,Bulevar Nicasio Oroño 3
16625,2007.0,1.0,10.0,8.0,,-32.934731,-60.649788,Almirante Brown 2130
16893,2008.0,1.0,10.0,21.0,,-32.93519033333334,-60.650772,Bulevar Nicasio Oroño 67
17379,2009.0,1.0,10.0,17.0,,-32.9356462,-60.65011499999999,Jujuy 2114
1776,2013.0,1.0,10.0,16.0,,-32.9356658,-60.650007,Jujuy 2102
18290,2011.0,1.0,10.0,7.0,,-32.93479785714286,-60.64991771428571,Almirante Brown 2121
18292,2011.0,1.0,10.0,14.0,,-32.935453833333334,-60.65002866666666,Balcarce 84
18476,2012.0,1.0,10.0,8.0,,-32.934731,-60.649788,Almirante Brown 2130
19266,2014.0,1.0,10.0,6.0,,-32.93479933333333,-60.65003983333335,Almirante Brown 2135
21589,2021.0,1.0,10.0,15.0,,-32.935564,-60.65005328571427,Balcarce 96
2877,1968.0,1.0,10.0,19.0,,-32.935479,-60.650381,Almirante Brown 2159
2966,1969.0,1.0,10.0,24.0,,-32.93467233333333,-60.650709500000005,Bulevar Nicasio Oroño 29
3293,1969.0,1.0,10.0,23.0,,-32.93476566666667,-60.650681,Bulevar Nicasio Oroño 29
4744,1973.0,1.0,10.0,18.0,,-32.93561416666667,-60.650192833333335,Jujuy 2122
5065,1974.0,1.0,10.0,18.0,,-32.93561416666667,-60.650192833333335,Jujuy 2122
5559,1975.0,1.0,10.0,11.0,,-32.935041,-60.65000239999999,Balcarce 42
5667,1975.0,1.0,10.0,20.0,,-32.935472,-60.650842,Bulevar Nicasio Oroo 96
681,1988.0,1.0,10.0,22.0,,-32.934951875,-60.650621125,Bulevar Nicasio Oroño 40
7163,1978.0,1.0,10.0,19.0,,-32.935479,-60.650381,Almirante Brown 2159
7623,1979.0,1.0,10.0,3.0,,-32.93477444444444,-60.6504041111111,Almirante Brown 2171
8018,1977.0,1.0,10.0,20.0,,-32.935472,-60.650842,Bulevar Nicasio Oroo 96
10018,1983.0,1.0,11.0,17.0,,-32.9359156,-60.6486132,Mariano Moreno 94
11525,1987.0,1.0,11.0,8.0,,-32.93496816666667,-60.64842416666667,Almirante Brown 2003
13300,1994.0,1.0,11.0,19.0,,-32.9357215,-60.6488395,Jujuy 2027
14539,1998.0,1.0,11.0,16.0,,-32.935734833333335,-60.6486175,Mariano Moreno 78
15116,2001.0,1.0,11.0,7.0,,-32.935008333333336,-60.64852577777778,Almirante Brown 5353
15367,2002.0,1.0,11.0,20.0,,-32.93576928571429,-60.64893942857143,Jujuy 2036
15484,2003.0,1.0,11.0,23.0,,-32.9357472,-60.6493014,Jujuy 2056
15692,2004.0,1.0,11.0,14.0,,-32.9355068,-60.6488457,Almirante Brown 3323
15730,2004.0,1.0,11.0,18.0,,-32.93579411111111,-60.648768,Jujuy 2012
16122,2006.0,1.0,11.0,26.0,,-32.935705,-60.64948,Mariano Moreno 89
16329,2006.0,1.0,11.0,4.0,,-32.9349765,-60.64900733333332,Almirante Brown 3105
16512,2007.0,1.0,11.0,6.0,,-32.935090625,-60.64866462499999,Almirante Brown 3726
16993,2008.0,1.0,11.0,1.0,,-32.934830833333336,-60.64952566666667,Balcarce 5
17696,2010.0,1.0,11.0,5.0,,-32.935115624999995,-60.6488955,Almirante Brown 3379
18388,2012.0,1.0,11.0,24.0,,-32.9357326,-60.6494106,Jujuy 2078
18742,2013.0,1.0,11.0,21.0,,-32.935759166666664,-60.64905583333333,Jujuy 2042
19731,2015.0,1.0,11.0,3.0,,-32.9349862,-60.64912940000001,Almirante Brown 2960
20254,2017.0,1.0,11.0,31.0,,-32.9352048,-60.6495054,Balcarce 41
20390,2017.0,1.0,11.0,28.0,,-32.935486,-60.64943519999999,Balcarce 67
20634,2018.0,1.0,11.0,11.0,,-32.93517557142857,-60.64853300000001,Mariano Moreno 24
